seed,alpha,gamma,q_iterations,epsilon,epsilon_min,epsilon_decay,steps_taken,finished,sweep_type,run_idx
21042,0.8,0.8,10,0.9,0.05,0.995,12,True,alpha_gamma_q_iterations,0
21043,0.8,0.8,10,0.9,0.05,0.995,39,True,alpha_gamma_q_iterations,1
21044,0.8,0.8,10,0.9,0.05,0.995,14,True,alpha_gamma_q_iterations,2
21045,0.8,0.8,10,0.9,0.05,0.995,64,True,alpha_gamma_q_iterations,3
21046,0.8,0.8,10,0.9,0.05,0.995,9,True,alpha_gamma_q_iterations,4
21047,0.8,0.8,10,0.9,0.05,0.995,59,True,alpha_gamma_q_iterations,5
21048,0.8,0.8,10,0.9,0.05,0.995,76,True,alpha_gamma_q_iterations,6
21049,0.8,0.8,10,0.9,0.05,0.995,77,True,alpha_gamma_q_iterations,7
21050,0.8,0.8,10,0.9,0.05,0.995,11,True,alpha_gamma_q_iterations,8
21051,0.8,0.8,10,0.9,0.05,0.995,55,True,alpha_gamma_q_iterations,9
22042,0.8,0.9,1,0.9,0.05,0.995,18,True,alpha_gamma_q_iterations,0
22043,0.8,0.9,1,0.9,0.05,0.995,29,True,alpha_gamma_q_iterations,1
22044,0.8,0.9,1,0.9,0.05,0.995,14,True,alpha_gamma_q_iterations,2
22045,0.8,0.9,1,0.9,0.05,0.995,14,True,alpha_gamma_q_iterations,3
22046,0.8,0.9,1,0.9,0.05,0.995,55,True,alpha_gamma_q_iterations,4
22047,0.8,0.9,1,0.9,0.05,0.995,12,True,alpha_gamma_q_iterations,5
22048,0.8,0.9,1,0.9,0.05,0.995,48,True,alpha_gamma_q_iterations,6
22049,0.8,0.9,1,0.9,0.05,0.995,74,True,alpha_gamma_q_iterations,7
22050,0.8,0.9,1,0.9,0.05,0.995,18,True,alpha_gamma_q_iterations,8
22051,0.8,0.9,1,0.9,0.05,0.995,20,True,alpha_gamma_q_iterations,9
23042,0.8,0.9,5,0.9,0.05,0.995,48,True,alpha_gamma_q_iterations,0
23043,0.8,0.9,5,0.9,0.05,0.995,174,True,alpha_gamma_q_iterations,1
23044,0.8,0.9,5,0.9,0.05,0.995,18,True,alpha_gamma_q_iterations,2
23045,0.8,0.9,5,0.9,0.05,0.995,16,True,alpha_gamma_q_iterations,3
23046,0.8,0.9,5,0.9,0.05,0.995,5,True,alpha_gamma_q_iterations,4
23047,0.8,0.9,5,0.9,0.05,0.995,9,True,alpha_gamma_q_iterations,5
23048,0.8,0.9,5,0.9,0.05,0.995,15,True,alpha_gamma_q_iterations,6
23049,0.8,0.9,5,0.9,0.05,0.995,42,True,alpha_gamma_q_iterations,7
23050,0.8,0.9,5,0.9,0.05,0.995,13,True,alpha_gamma_q_iterations,8
23051,0.8,0.9,5,0.9,0.05,0.995,2,True,alpha_gamma_q_iterations,9
24042,0.8,0.9,10,0.9,0.05,0.995,14,True,alpha_gamma_q_iterations,0
24043,0.8,0.9,10,0.9,0.05,0.995,102,True,alpha_gamma_q_iterations,1
24044,0.8,0.9,10,0.9,0.05,0.995,41,True,alpha_gamma_q_iterations,2
24045,0.8,0.9,10,0.9,0.05,0.995,8,True,alpha_gamma_q_iterations,3
24046,0.8,0.9,10,0.9,0.05,0.995,14,True,alpha_gamma_q_iterations,4
24047,0.8,0.9,10,0.9,0.05,0.995,19,True,alpha_gamma_q_iterations,5
24048,0.8,0.9,10,0.9,0.05,0.995,52,True,alpha_gamma_q_iterations,6
24049,0.8,0.9,10,0.9,0.05,0.995,113,True,alpha_gamma_q_iterations,7
24050,0.8,0.9,10,0.9,0.05,0.995,13,True,alpha_gamma_q_iterations,8
24051,0.8,0.9,10,0.9,0.05,0.995,10,True,alpha_gamma_q_iterations,9
25042,0.8,0.95,1,0.9,0.05,0.995,41,True,alpha_gamma_q_iterations,0
25043,0.8,0.95,1,0.9,0.05,0.995,69,True,alpha_gamma_q_iterations,1
25044,0.8,0.95,1,0.9,0.05,0.995,38,True,alpha_gamma_q_iterations,2
25045,0.8,0.95,1,0.9,0.05,0.995,61,True,alpha_gamma_q_iterations,3
25046,0.8,0.95,1,0.9,0.05,0.995,72,True,alpha_gamma_q_iterations,4
25047,0.8,0.95,1,0.9,0.05,0.995,37,True,alpha_gamma_q_iterations,5
25048,0.8,0.95,1,0.9,0.05,0.995,39,True,alpha_gamma_q_iterations,6
25049,0.8,0.95,1,0.9,0.05,0.995,18,True,alpha_gamma_q_iterations,7
25050,0.8,0.95,1,0.9,0.05,0.995,71,True,alpha_gamma_q_iterations,8
25051,0.8,0.95,1,0.9,0.05,0.995,2,True,alpha_gamma_q_iterations,9
26042,0.8,0.95,5,0.9,0.05,0.995,200,False,alpha_gamma_q_iterations,0
26043,0.8,0.95,5,0.9,0.05,0.995,26,True,alpha_gamma_q_iterations,1
26044,0.8,0.95,5,0.9,0.05,0.995,19,True,alpha_gamma_q_iterations,2
26045,0.8,0.95,5,0.9,0.05,0.995,34,True,alpha_gamma_q_iterations,3
26046,0.8,0.95,5,0.9,0.05,0.995,7,True,alpha_gamma_q_iterations,4
26047,0.8,0.95,5,0.9,0.05,0.995,5,True,alpha_gamma_q_iterations,5
26048,0.8,0.95,5,0.9,0.05,0.995,15,True,alpha_gamma_q_iterations,6
26049,0.8,0.95,5,0.9,0.05,0.995,19,True,alpha_gamma_q_iterations,7
26050,0.8,0.95,5,0.9,0.05,0.995,21,True,alpha_gamma_q_iterations,8
26051,0.8,0.95,5,0.9,0.05,0.995,37,True,alpha_gamma_q_iterations,9
27042,0.8,0.95,10,0.9,0.05,0.995,71,True,alpha_gamma_q_iterations,0
27043,0.8,0.95,10,0.9,0.05,0.995,85,True,alpha_gamma_q_iterations,1
27044,0.8,0.95,10,0.9,0.05,0.995,19,True,alpha_gamma_q_iterations,2
27045,0.8,0.95,10,0.9,0.05,0.995,33,True,alpha_gamma_q_iterations,3
27046,0.8,0.95,10,0.9,0.05,0.995,22,True,alpha_gamma_q_iterations,4
27047,0.8,0.95,10,0.9,0.05,0.995,15,True,alpha_gamma_q_iterations,5
27048,0.8,0.95,10,0.9,0.05,0.995,17,True,alpha_gamma_q_iterations,6
27049,0.8,0.95,10,0.9,0.05,0.995,63,True,alpha_gamma_q_iterations,7
27050,0.8,0.95,10,0.9,0.05,0.995,28,True,alpha_gamma_q_iterations,8
27051,0.8,0.95,10,0.9,0.05,0.995,15,True,alpha_gamma_q_iterations,9
